#OTU	NSTI
3907	0.018968000000000002
3916	0.015713
3918	0.063695
3922	0.078711
3931	0.022885
3932	0.037417
3943	0.044386
3945	0.06457
3956	0.052517999999999995
3968	0.071496
3977	0.20707199999999998
3984	0.255552
4015	0.217667
4024	0.217667
4032	0.333447
4038	0.089415
4043	0.217667
4047	0.072258
4080	0.240691
4081	0.217667
4082	0.217667
4083	0.217667
4086	0.044592
4099	0.042675
4115	0.217667
4116	0.079966
4127	0.196794
4145	0.221073
4146	0.37603600000000004
4204	0.37603600000000004
4335	0.013463999999999999
4380	0.01596
4382	0.043081
4386	0.018084
4403	0.043407999999999995
4404	0.182899
4411	0.041514999999999996
4413	0.299581
4446	0.050762
4470	0.085174
4478	0.49910200000000005
4497	0.046567000000000004
4509	0.12021199999999999
4513	0.011323
4518	0.01697
4544	0.036864
4552	0.062069000000000006
4562	0.022128000000000002
4563	0.031569
4566	0.030205000000000003
4571	0.022989
4575	0.33262600000000003
4578	0.017334
4591	0.009478
4597	0.026304
4614	0.22416799999999998
4632	0.015761
4638	0.031063999999999998
4639	0.07375
4640	0.08509299999999999
4680	0.14937
4681	0.176172
4707	0.17411300000000002
4709	0.271394
4714	0.090048
4715	0.030931999999999998
4735	0.023091
4736	0.034799000000000004
4737	0.11823
4752	0.018262
4760	0.014109
4762	0.038713
4765	0.087806
4769	0.005186
4803	0.042522000000000004
4816	0.030188
4819	0.028593
4827	0.020928
4966	0.013828
5066	0.126302
5067	0.826161
5110	0.13048900000000002
5123	0.21275700000000003
5136	0.020544999999999997
5137	0.060694000000000005
5138	0.091338
5158	0.012501
5162	0.01721
5172	0.179747
5263	0.073564
5266	0.024311000000000003
5294	0.00759
5364	0.050816
5419	0.02506
5424	0.032597
5438	0.026838
5441	0.003508
5442	0.009346
5460	0.012118
5468	0.08782999999999999
5492	0.016017
5497	0.032535
5504	0.086595
5547	0.007111
5583	0.037096
5629	0.018477
5645	0.158814
5652	0.0026219999999999998
5672	0.058501
5681	0.018116999999999998
5683	0.006664
5693	0.037397
5740	0.059365
5753	0.034061
5778	0.012828
5781	0.204056
5784	0.029682
5793	0.040063
5803	0.145887
5807	0.05134400000000001
5808	0.22232800000000003
5812	0.156421
5822	0.10690699999999999
5826	0.086453
5839	0.064203
5847	0.007373
5857	0.037185
5860	0.0069310000000000005
5900	0.030291000000000002
5901	0.018604
5902	0.030667000000000003
5904	0.034527999999999996
5921	0.221061
5951	0.011231
6010	0.327987
6013	0.008718
6024	0.008114
6027	0.07180800000000001
6028	0.007916
6047	0.016499
6052	0.11935799999999999
6092	0.009156000000000001
6118	0.010520999999999999
6123	0.041366
6204	0.023452
6258	0.011212999999999999
6263	0.16531500000000002
6268	0.021009
6294	0.095328
6303	0.01342
6321	0.9153879999999999
6330	0.013277
6357	0.027208999999999997
6365	0.087714
6367	0.006566
6368	0.0036520000000000003
6372	0.021565
6374	0.037146
6535	0.047987
6602	0.020291999999999998
6648	0.034005
6674	0.001407
6675	0.05821900000000001
6692	0.151981
6693	0.08932000000000001
6713	0.058689
6721	0.002052
6749	0.055060000000000005
6794	0.261495
6817	0.07032000000000001
6825	0.06692100000000001
6849	0.028694
6858	0.065067
6859	0.098511
6940	0.068084
6955	0.052891999999999995
7046	0.125305
7061	0.067304
7128	0.033904000000000004
7183	0.013384
7184	0.019915000000000002
7214	0.032248
7229	0.032289
7260	0.10438199999999999
7316	0.031177999999999997
7338	0.11118800000000001
7346	0.052067999999999996
7347	0.060336
7366	0.082345
7369	0.040249
7382	0.018147999999999997
7425	0.08267100000000001
7432	0.10385599999999999
7451	0.21516100000000002
7452	0.18078699999999998
7457	0.091211
7467	0.042737
7470	0.068598
7472	0.053769000000000004
7473	0.053451
7505	0.050637
7509	0.006365
7510	0.03588
7511	0.050004
7518	0.06980599999999999
7539	0.052609
7543	0.009401999999999999
7547	0.153371
7553	0.041699
7559	0.074922
7572	0.048308
7590	0.210509
7594	0.060973
7595	0.059996
7596	0.062971
7604	0.049727
7606	0.084398
7608	0.23001300000000002
7616	0.038176
7619	0.053297000000000004
7620	0.068334
7628	0.037994
7633	0.08175299999999999
7641	0.037538999999999996
7643	0.160405
7649	0.003751
7650	0.167854
7655	0.002689
7671	0.050020999999999996
7677	0.047095
7681	0.007831
7686	0.006312
7698	0.0054
7719	0.005816
7722	0.004025
7735	0.009947
7760	0.258062
7764	0.022945
7792	0.21300300000000003
7801	0.031594
7821	0.031348
7895	1.264032
7908	0.040438999999999996
7912	0.037613
7915	0.022315
7920	0.029267
7932	0.043758
7934	0.006790999999999999
7936	0.016909999999999998
7954	0.043902
7958	0.021703
7971	0.036995
7972	0.009492
7973	0.033918000000000004
7976	0.018712
7978	0.006456
7980	0.005913
7983	0.005783
7999	0.050062999999999996
8001	0.011290999999999999
8002	0.004228
8010	0.003363
8011	0.229208
8012	0.06350800000000001
8015	0.007195999999999999
8016	0.050997
8026	0.13339700000000002
8028	0.046293
8035	0.08493300000000001
8039	0.33161799999999997
8040	0.028860000000000004
8054	0.013046
8079	0.006045
8090	0.058785000000000004
8091	0.036581
8097	0.012381999999999999
8102	0.267394
8104	0.012811000000000001
8105	0.022521
8106	0.026626
8107	0.019911
8114	0.06299500000000001
8127	0.019589
8134	0.144146
8146	0.125366
8162	0.016243
8173	0.147573
8181	0.02428
8194	0.205463
8195	0.090643
8204	0.040381
8247	0.009558
8253	0.036572
8254	0.017793
8256	0.038469
8281	0.020324000000000002
8290	0.07741100000000001
8297	0.064262
8304	0.048454000000000004
8315	0.011382999999999999
8407	0.033951
8433	0.021345
8491	0.069596
8523	0.003943
8525	0.027624
8619	0.040573000000000005
8806	0.022305000000000002
8838	0.10008600000000001
8849	0.032633999999999996
8854	0.039564999999999996
8864	0.13483
8875	0.01772
8878	0.032964
8880	0.013411000000000001
8881	0.013787
8882	0.068734
8886	0.019776
8897	0.009470000000000001
8898	0.031228
8906	0.031038
8958	0.126924
8965	0.020233
8966	0.028814999999999997
8994	0.029106
9014	0.037747
9017	0.023995
9020	0.024957
9025	0.011912
9027	0.019122999999999998
9033	0.138272
9034	0.136124
9036	0.013833000000000002
9041	0.031514
9061	0.019698
9117	0.019288
9121	0.07044600000000001
9128	0.021287
9129	0.13486700000000001
9131	0.20666199999999998
9134	0.016747
9138	0.020405
9155	0.065363
9171	0.009094
9191	0.019496
9213	0.022913
9232	0.025654000000000003
9236	0.011664
9245	0.009170999999999999
9246	0.012672
9249	0.13985899999999998
9250	0.01229
9252	0.023638
9283	0.065984
9303	0.013338
9314	0.013783000000000002
9317	0.015153999999999999
9349	0.004069
9356	0.006818
9402	0.011294
9459	0.005375
9465	0.022821
9466	0.04521
9475	0.052827
9498	0.037066
9504	0.004557
9505	0.027347000000000003
9510	0.05471
9511	0.029635
9518	0.009468
9546	0.086903
9548	0.109787
9557	0.038452999999999994
9562	0.065844
9564	0.051017
9610	0.019883
9647	0.066482
9648	0.277303
9649	0.25183
9651	0.397335
9653	0.25183
9665	0.023694
9710	0.01295
9727	0.016293000000000002
9787	0.007146
9819	0.00584
9826	0.015623
9846	0.018356
9868	0.027354000000000003
9870	0.012679000000000001
9912	0.023756
9918	0.015156999999999999
9939	0.015699
9961	0.07883899999999999
9965	0.25183
9986	0.06678400000000001
9994	0.088777
10001	0.089584
10002	0.082424
10085	0.031862
10175	0.042113
10180	0.025932999999999998
10196	0.0054600000000000004
10203	0.046478
10211	0.068118
10212	0.070266
10243	0.010467
10298	0.045377
10323	0.011538
10365	0.003713
10390	0.015818000000000002
10404	0.012837000000000001
10413	0.020363
10418	0.021963999999999997
10430	0.027969
10436	0.018466999999999997
10438	0.027214
10442	0.0155
10444	0.029470999999999997
10455	0.041629
10459	0.046403
10463	0.0638
10485	0.23085300000000003
10486	0.014463
10512	0.025456
10518	0.085638
10535	0.082478
10560	1.7793729999999999
10566	2.432572
10596	0.168976
10660	0.022546
10666	0.056839999999999995
10667	0.056128
10672	0.051292
10677	0.361969
10681	0.30245900000000003
10682	0.058071000000000005
10689	0.191363
10691	0.09855
10699	0.056185
10700	0.824665
10702	0.073372
10703	0.069957
10708	0.025961
10711	0.018897999999999998
10718	0.050143
10719	0.021079
10724	0.361174
10732	0.268714
10750	0.074562
10753	0.04235
10758	0.054224
10759	0.087022
10760	0.089326
10762	0.065402
10771	0.15628699999999998
10775	0.026898000000000002
10779	0.054286
10794	0.015738
10816	0.025812
10829	0.08396
10830	0.070427
10837	0.08678200000000001
10840	0.038245999999999995
10859	0.14163399999999998
10865	0.005921
10869	0.147323
10886	0.014801
10898	0.303249
10902	0.192879
10904	0.050957999999999996
10906	0.047257
10907	0.19426
10908	0.027859
10909	0.041783
10919	0.038194
10923	0.021342
10926	0.0566
10927	0.098423
10934	0.108029
10938	0.040425
10940	0.118546
10941	0.026175
10942	0.023226
10945	0.015174000000000002
10952	0.014993000000000001
10960	0.0186
10961	0.066813
10969	0.090705
10978	6.663625
10980	0.11336600000000001
11036	0.051701
11054	0.067884
11080	0.034046
11103	0.045322
11104	0.07344400000000001
11109	0.050752
11113	0.053167
11120	0.06575
11121	0.063596
11127	0.234312
11128	0.051144999999999996
11136	0.24204
11139	0.029516000000000004
11150	0.068698
11156	0.047496
11162	0.023678
11163	0.032075
11180	0.026691000000000003
11183	0.035949
11188	0.103177
11208	0.00774
11235	0.019024
11262	0.061948
11266	0.064715
11267	0.059587
11270	0.07156
11271	0.072313
11272	0.062335
11274	0.064563
11278	0.132433
11282	0.061725999999999996
11296	0.0037090000000000005
11299	0.035914
11302	0.027524
11353	0.009722
11358	0.088713
11359	0.088007
11376	0.038893000000000004
11379	0.015887000000000002
11396	0.233875
11398	0.23852800000000002
11399	0.19808299999999998
11400	0.26527
11418	0.14061099999999999
11426	0.056027
11427	0.013222999999999999
11428	0.036247
11431	0.047764999999999995
11435	0.064063
11439	0.0075829999999999995
11449	0.012201
11544	0.02428
11591	0.071585
11621	0.10682799999999999
11622	0.028245
11631	0.084699
11632	0.121946
11816	0.02349
11871	0.126046
11875	0.039313
11886	0.053163999999999996
11920	0.13237100000000002
11985	0.030167000000000003
12000	0.149076
12048	0.012872
12056	0.007873
12063	0.048558
12074	0.029023
12097	0.063291
12101	0.089524
12106	0.07024
12112	0.016732
12128	0.215216
12133	0.032665
12168	0.07244199999999999
12173	0.018739
12176	0.045647
12184	0.012301000000000001
12186	0.071094
12191	0.032615
12195	0.039073000000000004
12220	0.047625
12221	0.025791
12253	0.014841
12257	0.092188
12277	0.019767
12290	0.0040100000000000005
12294	0.003346
12297	0.293267
12300	0.012902
12364	0.029493000000000002
12369	0.12926300000000002
12394	0.017006999999999998
12396	0.7787850000000001
12398	0.057109
12399	0.004107
12408	0.030126999999999998
12434	0.020961
12457	0.050867
12464	0.010812
12481	0.402708
12486	0.022373
12520	0.004748
12538	0.001282
12541	0.135389
12542	0.182354
12543	0.044838
12548	0.180247
12558	0.08055
12560	0.024208
12562	0.040788
12564	0.037201
12574	0.012221
12589	0.034455
12592	0.012387
12619	0.015781
12666	0.056624
12702	0.012548
12727	0.007265000000000001
12762	0.025827
12763	0.045869
12776	0.024106
12794	0.011415999999999999
12798	0.0029519999999999998
12799	0.02015
12836	0.030856
12898	0.03588
12910	0.10444300000000001
12913	0.042491
12919	0.040513
12926	0.0033009999999999997
12933	0.154861
12934	0.167831
12938	0.10866700000000001
12978	0.029313
12980	0.082152
12986	0.020871999999999998
12987	0.01242
12993	0.025498
12997	0.021111
13024	0.009169
13031	0.020713
13034	0.027529
13047	0.016033000000000002
13048	0.025096
13069	0.017391
